Time (h),OD600 6.5,OD600 6.0,OD600 5.5,OD600 5.0,OD600 4.5,OD600 4.0,X 6.5,X 6.0,X 5.5,X 5.0,X 4.5,X 4
0.0,0,0,0,0,0.000183333,0.009,0,0,0,0,0.0007296418573,0.02873166523
1.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,0.009,0,0,0,0,0,0.05658415842,0,0,0,0,0
19.0,0.017,0.008,0,0,0,0,0.1068811881,0.04177545692,0,0,0,0
20.0,0.124,0.03,0,0,0,0,0.7796039604,0.1566579634,0,0,0,0
21.0,0.091,0,0,0,0,0,0.5721287129,0,0,0,0,0
22.0,0.032,0,0,0,0,0,0.2011881188,0,0,0,0,0
23.0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,0.056,0,0,0,0,0,0.3520792079,0,0,0,0,0
24.4,0.018,0,0,0,0,0,0.1131683168,0,0,0,0,0
25.4,0,0,0,0,0,0,0,0,0,0,0,0
26.4,0,0,0,0,0,0,0,0,0,0,0,0
27.4,0.023,0,0,0,0,0.017,0.1446039604,0,0,0,0,0.05427092321
