scenario,model,target,MAE,RMSE,R2
1,XGBoost,glucose,2.433820083092463,3.483911570256827,0.8293771242087095
1,Linear,glucose,2.6500273269898784,3.7028956309855,0.8072537426019049
1,Naive Mean,glucose,8.175866666666664,8.785937109396912,-0.08512355737380961
1,XGBoost,xylose,3.933401059458777,4.567891230065164,0.037185579241150624
1,Linear,xylose,4.378010707247662,4.868311335324821,-0.09362333098918496
1,Naive Mean,xylose,4.203218333333332,6.021021034190683,-0.6728283005668609
2,XGBoost,glucose,2.1460169861523988,3.2627994584786766,0.8316086211308376
2,Linear,glucose,2.6269692981622375,3.8154563143732467,0.7697328101874733
2,Naive Mean,glucose,7.44775720164609,8.253570041131798,-0.07751362961105634
2,XGBoost,xylose,3.782869255815667,4.508455331297579,0.0956896783078568
2,Linear,xylose,8.346581027886232,17.375438948776562,-12.431778309203935
2,Naive Mean,xylose,4.48546159122085,5.953434783541284,-0.5768745598883374
3,XGBoost,glucose,2.148152795476943,3.283260995994916,0.8294899801619972
3,Linear,glucose,6.680077617996054,7.640683571049424,0.0765709800718617
3,Naive Mean,glucose,7.44775720164609,8.253570041131798,-0.07751362961105634
3,XGBoost,xylose,3.9533815987684107,4.654206052855253,0.03627492529789511
3,Linear,xylose,3.147000968543064,4.138080312993171,0.2381670082187478
3,Naive Mean,xylose,4.48546159122085,5.953434783541284,-0.5768745598883374
4,XGBoost,glucose,1.6772707378081557,2.8965922405113296,0.8278177987368089
4,Linear,glucose,3.997476323782151,7.195592252050326,-0.06254326013272937
4,Naive Mean,glucose,5.855651851851852,7.181657421171087,-0.058431847681279514
4,XGBoost,xylose,3.5028474162128234,4.344343040155377,0.16130751762124873
4,Linear,xylose,3.0969106729005254,4.078907287152976,0.2606634162978413
4,Naive Mean,xylose,4.831137777777777,5.729390609182847,-0.4587181685703674
5,XGBoost,glucose,2.431991787410124,3.515196137954457,0.82629907296043
5,Linear,glucose,3.177381036963051,4.588172557275838,0.7040744268800891
5,Naive Mean,glucose,8.175866666666664,8.785937109396912,-0.08512355737380961
5,XGBoost,xylose,3.9679597834497695,4.655054758033842,9.056485817449111e-05
5,Linear,xylose,4.612080998103992,5.2278873436663975,-0.2611406345059555
5,Naive Mean,xylose,4.203218333333332,6.021021034190683,-0.6728283005668609
6,XGBoost,glucose,2.2707902267096203,3.364303239508162,0.8309963451516843
6,Linear,glucose,4.022348043336936,4.583684188930597,0.68628505802244
6,Naive Mean,glucose,7.822055401662049,8.506549194866174,-0.08046988099575825
6,Last HPLC,glucose,1.4803070175438602,2.8243120191612947,0.8808946752451937
6,XGBoost,xylose,3.7727371184658582,4.547400460836047,0.05913790062887225
6,Linear,xylose,1.4997709206121086,1.766419633982621,0.8580330219342098
6,Naive Mean,xylose,4.338373037857802,5.993203999921261,-0.6342469861875859
6,Last HPLC,xylose,1.2343508771929825,2.016052535169013,0.8150717494281697
