Time (h),OD600 (-),[Glucose] (g/L),[Xylose] (g/L),trajectory_id
24.0,0.1901,19.4743,8.2768,2:1_0000
24.0,0.208,19.437,8.2721,2:1_0000
24.0,0.1771,19.4429,8.1061,2:1_0000
32.333,0.1894,19.4742,8.4014,2:1_0000
32.333,0.2499,19.3824,8.1959,2:1_0000
32.333,0.2133,19.6122,8.4357,2:1_0000
48.0,0.1822,19.4112,8.3675,2:1_0000
48.0,0.2213,19.4844,8.2376,2:1_0000
48.0,0.2145,19.5182,8.1892,2:1_0000
55.5,0.2683,18.4131,8.1994,2:1_0000
55.5,0.2602,18.3952,8.3587,2:1_0000
55.5,0.2732,18.3129,8.3068,2:1_0000
72.0,0.4044,11.7119,8.2993,2:1_0000
72.0,0.4843,11.5066,8.2935,2:1_0000
72.0,0.4775,11.5352,8.3029,2:1_0000
80.0,0.6085,6.4248,8.1344,2:1_0000
80.0,0.5839,6.4271,8.1126,2:1_0000
80.0,0.5979,6.735,8.0941,2:1_0000
96.0,0.7969,0.6244,6.7537,2:1_0000
96.0,0.7636,0.5934,6.6375,2:1_0000
96.0,0.7944,0.5991,6.5902,2:1_0000
104.0,0.8384,0.2636,4.1702,2:1_0000
104.0,0.8593,0.2229,4.3975,2:1_0000
104.0,0.8845,0.1926,4.378,2:1_0000
120.0,0.9166,0.0418,0.7754,2:1_0000
120.0,0.926,0.0,0.5868,2:1_0000
120.0,0.9297,0.0,0.66,2:1_0000
128.0,0.8874,0.0835,0.3404,2:1_0000
128.0,0.9376,0.1833,0.3597,2:1_0000
128.0,0.9457,0.0,0.19,2:1_0000
144.0,0.9516,0.0,0.0755,2:1_0000
144.0,0.9528,0.0,0.1302,2:1_0000
144.0,0.9357,0.0021,0.0,2:1_0000
24.0,0.2353,19.288,10.9684,2:1_0001
24.0,0.2795,19.4626,10.7196,2:1_0001
24.0,0.2553,19.4181,10.7865,2:1_0001
32.333,0.266,19.4215,11.0134,2:1_0001
32.333,0.219,19.4176,10.7924,2:1_0001
32.333,0.2452,19.5254,10.7393,2:1_0001
48.0,0.2129,19.4732,10.8805,2:1_0001
48.0,0.2637,19.297,10.8871,2:1_0001
48.0,0.254,19.3987,10.7031,2:1_0001
55.5,0.3948,18.6264,10.7384,2:1_0001
55.5,0.3447,18.6481,10.9719,2:1_0001
55.5,0.3569,18.5838,10.7003,2:1_0001
72.0,1.1297,9.5814,10.8399,2:1_0001
72.0,1.1058,9.8092,10.6528,2:1_0001
72.0,1.1106,9.6656,10.79,2:1_0001
80.0,1.6277,0.4513,9.5613,2:1_0001
80.0,1.6355,0.378,9.6362,2:1_0001
80.0,1.6216,0.4448,9.5937,2:1_0001
96.0,1.9158,0.0,0.1398,2:1_0001
96.0,1.8967,0.0,0.1239,2:1_0001
96.0,1.8951,0.1459,0.088,2:1_0001
104.0,1.8794,0.0,0.0,2:1_0001
104.0,1.9283,0.0774,0.0,2:1_0001
104.0,1.9127,0.0,0.0862,2:1_0001
120.0,1.9173,0.07,0.0,2:1_0001
120.0,1.8942,0.0665,0.1551,2:1_0001
120.0,1.929,0.1582,0.0162,2:1_0001
128.0,1.8875,0.0,0.138,2:1_0001
128.0,1.8696,0.1505,0.0,2:1_0001
128.0,1.9453,0.0,0.0723,2:1_0001
144.0,1.9546,0.0,0.0,2:1_0001
144.0,1.893,0.0,0.0,2:1_0001
144.0,1.8958,0.0,0.0,2:1_0001
24.0,0.3031,21.9004,9.9117,2:1_0002
24.0,0.3211,21.6071,9.8344,2:1_0002
24.0,0.3152,21.679,9.9248,2:1_0002
32.333,0.4137,16.9771,10.0592,2:1_0002
32.333,0.4262,17.0742,9.5578,2:1_0002
32.333,0.4272,16.7934,10.0279,2:1_0002
48.0,0.8262,1.0051,9.3035,2:1_0002
48.0,0.8327,1.2443,9.234,2:1_0002
48.0,0.7644,1.0187,9.3512,2:1_0002
55.5,0.9388,0.0,5.9224,2:1_0002
55.5,0.9448,0.0413,5.8603,2:1_0002
55.5,0.8945,0.1007,5.9761,2:1_0002
72.0,1.0192,0.0,0.2403,2:1_0002
72.0,0.9886,0.0,0.4171,2:1_0002
72.0,1.016,0.2466,0.3098,2:1_0002
80.0,1.0032,0.0,0.1504,2:1_0002
80.0,1.0322,0.0,0.2491,2:1_0002
80.0,0.9953,0.103,0.1879,2:1_0002
96.0,0.983,0.0578,0.0,2:1_0002
96.0,1.0267,0.0,0.0572,2:1_0002
96.0,1.0253,0.112,0.0894,2:1_0002
104.0,1.0114,0.0,0.0,2:1_0002
104.0,0.9879,0.0,0.0,2:1_0002
104.0,0.9945,0.0,0.0,2:1_0002
120.0,0.9473,0.0,0.0361,2:1_0002
120.0,0.9566,0.0237,0.0,2:1_0002
120.0,0.9867,0.0,0.1051,2:1_0002
128.0,0.9908,0.0079,0.0347,2:1_0002
128.0,0.9938,0.1008,0.0404,2:1_0002
128.0,1.0052,0.2363,0.1013,2:1_0002
144.0,0.9765,0.0,0.2467,2:1_0002
144.0,0.9906,0.0066,0.1231,2:1_0002
144.0,1.0233,0.0796,0.0738,2:1_0002
24.0,0.1347,20.5412,8.426,2:1_0003
24.0,0.1615,20.5355,8.1761,2:1_0003
24.0,0.1658,20.4125,8.5162,2:1_0003
32.333,0.2249,20.4179,8.477,2:1_0003
32.333,0.2351,20.4429,8.4778,2:1_0003
32.333,0.1554,20.6383,8.3597,2:1_0003
48.0,0.1855,20.4664,8.4395,2:1_0003
48.0,0.1714,20.4666,8.6067,2:1_0003
48.0,0.2257,20.4249,8.3861,2:1_0003
55.5,0.2681,20.2393,8.4401,2:1_0003
55.5,0.3066,20.0404,8.6481,2:1_0003
55.5,0.2794,19.86,8.6132,2:1_0003
72.0,1.957,3.8885,8.3246,2:1_0003
72.0,1.9492,3.9999,8.1957,2:1_0003
72.0,1.957,3.8955,8.1386,2:1_0003
80.0,2.5247,0.0,0.0266,2:1_0003
80.0,2.5197,0.0436,0.0402,2:1_0003
80.0,2.5329,0.0223,0.0,2:1_0003
96.0,2.5232,0.0,0.0,2:1_0003
96.0,2.5091,0.01,0.0,2:1_0003
96.0,2.4878,0.2252,0.0,2:1_0003
104.0,2.5577,0.0,0.1698,2:1_0003
104.0,2.5058,0.0176,0.0,2:1_0003
104.0,2.5808,0.0,0.0828,2:1_0003
120.0,2.5378,0.0,0.0518,2:1_0003
120.0,2.556,0.0668,0.0162,2:1_0003
120.0,2.5392,0.1915,0.0,2:1_0003
128.0,2.4917,0.0,0.0,2:1_0003
128.0,2.5112,0.0,0.0,2:1_0003
128.0,2.5337,0.0237,0.0,2:1_0003
144.0,2.5487,0.0534,0.1581,2:1_0003
144.0,2.5457,0.0,0.1305,2:1_0003
144.0,2.5343,0.0798,0.072,2:1_0003
24.0,0.1653,21.0894,9.6892,2:1_0004
24.0,0.2448,21.3193,9.5459,2:1_0004
24.0,0.1798,21.2278,9.6129,2:1_0004
32.333,0.2242,21.3128,9.6727,2:1_0004
32.333,0.2465,21.2034,9.8322,2:1_0004
32.333,0.1672,21.1661,9.5717,2:1_0004
48.0,0.2186,21.2257,9.5021,2:1_0004
48.0,0.2517,21.1895,9.4498,2:1_0004
48.0,0.2414,21.3288,9.6612,2:1_0004
55.5,0.226,21.0581,9.5599,2:1_0004
55.5,0.1918,21.2199,9.6168,2:1_0004
55.5,0.2436,21.1864,9.6262,2:1_0004
72.0,0.2625,21.092,9.6176,2:1_0004
72.0,0.2646,21.0484,9.6592,2:1_0004
72.0,0.2822,20.9131,9.568,2:1_0004
80.0,0.3305,20.775,9.4486,2:1_0004
80.0,0.3299,20.9403,9.7643,2:1_0004
80.0,0.3328,20.7371,9.7533,2:1_0004
96.0,0.4455,20.2665,9.4439,2:1_0004
96.0,0.4146,20.5509,9.3089,2:1_0004
96.0,0.422,20.5452,9.2635,2:1_0004
104.0,0.5084,20.2792,9.4605,2:1_0004
104.0,0.4704,20.1063,9.2779,2:1_0004
104.0,0.4869,20.2145,9.4232,2:1_0004
120.0,0.6907,19.4214,9.5661,2:1_0004
120.0,0.6632,19.4855,9.6691,2:1_0004
120.0,0.6631,19.4873,9.6173,2:1_0004
128.0,0.7903,19.0302,9.4637,2:1_0004
128.0,0.7735,18.7848,9.6089,2:1_0004
128.0,0.7765,18.7929,9.7027,2:1_0004
144.0,1.0859,17.2683,9.3885,2:1_0004
144.0,1.087,17.3483,9.5673,2:1_0004
144.0,1.0519,17.2212,9.4839,2:1_0004
24.0,0.2107,21.6196,9.9703,2:1_0005
24.0,0.1742,21.5255,9.8939,2:1_0005
24.0,0.2094,21.4739,9.9721,2:1_0005
32.333,0.9349,19.0489,9.6906,2:1_0005
32.333,0.9072,19.0404,9.8143,2:1_0005
32.333,0.931,18.9948,10.0519,2:1_0005
48.0,3.2102,0.0276,0.1054,2:1_0005
48.0,3.2252,0.0899,0.0057,2:1_0005
48.0,3.1814,0.0,0.0,2:1_0005
55.5,3.1986,0.0,0.0,2:1_0005
55.5,3.2157,0.0,0.1895,2:1_0005
55.5,3.1837,0.0,0.0,2:1_0005
72.0,3.2096,0.1151,0.0,2:1_0005
72.0,3.1739,0.153,0.0,2:1_0005
72.0,3.2153,0.0,0.0397,2:1_0005
80.0,3.2167,0.0476,0.0,2:1_0005
80.0,3.2231,0.0289,0.3683,2:1_0005
80.0,3.161,0.0,0.0994,2:1_0005
96.0,3.1945,0.0793,0.0,2:1_0005
96.0,3.1962,0.0457,0.0,2:1_0005
96.0,3.1998,0.0,0.0395,2:1_0005
104.0,3.2241,0.0,0.0,2:1_0005
104.0,3.2189,0.0,0.0841,2:1_0005
104.0,3.1963,0.0,0.1467,2:1_0005
120.0,3.2137,0.028,0.0,2:1_0005
120.0,3.2094,0.0,0.0,2:1_0005
120.0,3.1953,0.1897,0.0,2:1_0005
128.0,3.1667,0.147,0.0726,2:1_0005
128.0,3.2104,0.1488,0.1723,2:1_0005
128.0,3.1773,0.0,0.0842,2:1_0005
144.0,3.1899,0.0,0.0,2:1_0005
144.0,3.2068,0.0402,0.0,2:1_0005
144.0,3.1674,0.1209,0.0256,2:1_0005
24.0,0.2802,20.011,10.2931,2:1_0006
24.0,0.2641,19.8847,10.19,2:1_0006
24.0,0.2702,19.7158,10.3295,2:1_0006
32.333,0.3827,19.5638,10.1904,2:1_0006
32.333,0.3919,19.4411,10.2133,2:1_0006
32.333,0.4046,19.368,10.0681,2:1_0006
48.0,0.9872,17.6137,10.1855,2:1_0006
48.0,0.9556,17.6143,10.0354,2:1_0006
48.0,0.9665,17.4121,10.1395,2:1_0006
55.5,1.4117,15.1082,10.1387,2:1_0006
55.5,1.4209,15.1417,9.9998,2:1_0006
55.5,1.4316,14.9712,10.1697,2:1_0006
72.0,2.8011,0.984,8.8185,2:1_0006
72.0,2.7291,0.8107,8.9667,2:1_0006
72.0,2.7818,0.662,8.8552,2:1_0006
80.0,3.1693,0.0,0.0122,2:1_0006
80.0,3.1419,0.0523,0.0426,2:1_0006
80.0,3.1355,0.0,0.0,2:1_0006
96.0,3.1893,0.0894,0.0,2:1_0006
96.0,3.1617,0.1014,0.0,2:1_0006
96.0,3.1753,0.1477,0.0,2:1_0006
104.0,3.193,0.1355,0.0249,2:1_0006
104.0,3.1512,0.0236,0.0,2:1_0006
104.0,3.1442,0.0532,0.0,2:1_0006
120.0,3.1533,0.0,0.0,2:1_0006
120.0,3.1733,0.0,0.1299,2:1_0006
120.0,3.1552,0.0,0.0,2:1_0006
128.0,3.1609,0.0045,0.0742,2:1_0006
128.0,3.1614,0.2094,0.0456,2:1_0006
128.0,3.1403,0.0,0.0535,2:1_0006
144.0,3.1397,0.0595,0.0896,2:1_0006
144.0,3.1785,0.0,0.0921,2:1_0006
144.0,3.1665,0.0,0.0,2:1_0006
24.0,0.2721,18.1797,9.3666,2:1_0007
24.0,0.3076,18.1701,9.4372,2:1_0007
24.0,0.3436,18.1251,9.2079,2:1_0007
32.333,0.3281,17.8101,9.3152,2:1_0007
32.333,0.3162,17.9386,9.1728,2:1_0007
32.333,0.2985,17.7028,9.3788,2:1_0007
48.0,0.4068,17.1236,9.2583,2:1_0007
48.0,0.3418,16.9811,9.1979,2:1_0007
48.0,0.3663,16.8869,9.1257,2:1_0007
55.5,0.4325,16.5398,9.3098,2:1_0007
55.5,0.4727,16.6034,9.2015,2:1_0007
55.5,0.4675,16.3766,9.0112,2:1_0007
72.0,0.5318,15.1122,9.2224,2:1_0007
72.0,0.5269,14.9583,9.0814,2:1_0007
72.0,0.5247,15.1861,9.1912,2:1_0007
80.0,0.6543,13.9895,9.2454,2:1_0007
80.0,0.6234,14.1664,9.2217,2:1_0007
80.0,0.6386,14.1339,9.0871,2:1_0007
96.0,0.7983,11.5752,9.0911,2:1_0007
96.0,0.7976,11.6776,9.1204,2:1_0007
96.0,0.7767,11.4468,8.9883,2:1_0007
104.0,0.8747,10.0485,9.0902,2:1_0007
104.0,0.9081,9.9488,9.1275,2:1_0007
104.0,0.8738,10.0674,9.0517,2:1_0007
120.0,1.096,5.7118,9.0149,2:1_0007
120.0,1.0993,5.7552,9.1762,2:1_0007
120.0,1.0983,5.822,9.0883,2:1_0007
128.0,1.2491,3.064,8.9558,2:1_0007
128.0,1.2359,3.0627,9.0356,2:1_0007
128.0,1.2678,2.9964,9.1389,2:1_0007
144.0,1.3961,0.1338,7.547,2:1_0007
144.0,1.418,0.0,7.4534,2:1_0007
144.0,1.3915,0.0006,7.46,2:1_0007
24.0,0.1551,21.8047,8.5026,2:1_0008
24.0,0.2022,21.6878,8.3629,2:1_0008
24.0,0.182,21.773,8.4564,2:1_0008
32.333,0.2057,21.6338,8.5059,2:1_0008
32.333,0.1979,21.6169,8.4774,2:1_0008
32.333,0.1902,21.7492,8.5507,2:1_0008
48.0,0.2601,21.394,8.3658,2:1_0008
48.0,0.2373,21.4779,8.408,2:1_0008
48.0,0.2686,21.6274,8.4199,2:1_0008
55.5,0.2974,21.4992,8.4582,2:1_0008
55.5,0.3086,21.4002,8.4668,2:1_0008
55.5,0.2646,21.366,8.3255,2:1_0008
72.0,0.3779,21.172,8.4287,2:1_0008
72.0,0.3922,21.1338,8.6362,2:1_0008
72.0,0.3748,21.0393,8.3744,2:1_0008
80.0,0.4714,20.9972,8.5189,2:1_0008
80.0,0.4917,20.9349,8.4174,2:1_0008
80.0,0.5055,20.6673,8.4633,2:1_0008
96.0,0.6816,20.4855,8.2851,2:1_0008
96.0,0.6646,20.1623,8.2714,2:1_0008
96.0,0.6689,20.3814,8.5718,2:1_0008
104.0,0.7888,19.8963,8.427,2:1_0008
104.0,0.8106,19.9451,8.4273,2:1_0008
104.0,0.821,19.7084,8.5124,2:1_0008
120.0,1.1227,18.5746,8.3145,2:1_0008
120.0,1.0979,18.5118,8.4774,2:1_0008
120.0,1.1044,18.6245,8.3035,2:1_0008
128.0,1.2694,17.3782,8.4847,2:1_0008
128.0,1.2853,17.8819,8.5252,2:1_0008
128.0,1.2808,17.5725,8.3909,2:1_0008
